Dialect_Name,Dialect_Sentence,English_Translation,Hindi_Translation
Standard,माझी आई रोज मला शाळेत पोहोचवायची.,My mother used to drop me at school every day.,मेरी माँ रोज मुझे स्कूल छोड़ने जाती थी।
Standard,काल रात्री खूप पाऊस पडला.,It rained heavily last night.,कल रात बहुत बारिश हुई।
Standard,आज बाजारात भाज्या स्वस्त आहेत.,Vegetables are cheap in the market today.,आज बाज़ार में सब्जियां सस्ती हैं।
Standard,मी दररोज सकाळी व्यायाम करतो.,I exercise every morning.,मैं रोज सुबह व्यायाम करता हूं।
Standard,तिने आपल्या आईला मदत केली.,She helped her mother.,उसने अपनी माँ की मदद की।
Standard,उद्या आमच्या गावात जत्रा आहे.,Tomorrow there is a fair in our village.,कल हमारे गाँव में मेला है।
Standard,हा फळांचा हंगाम आहे.,Ts is the fruit season.,यह फलों का मौसम है।
Standard,त्यांनी नवीन घर बांधले आहे.,They have built a new house.,उन्होंने नया घर बनाया है।
Standard,आज खूप गरम हवा आहे.,It's very hot today.,आज बहुत गरमी है।
Standard,मुलं बागेत खेळत आहेत.,Cldren are playing in the garden.,बच्चे बगीचे में खेल रहे हैं।
Standard,गावात नवीन दवाखाना उघडला आहे.,A new clinic has opened in the village.,गाँव में नया क्लिनिक खुला है।
Standard,सणासाठी सगळे घर सजवत आहेत.,Everyone is decorating their houses for the festival.,त्योहार के लिए सभी घर सजा रहे हैं।
Standard,शेतात पिके चांगली आली आहेत.,The crops in the field have grown well.,खेत में फसल अच्छी हुई है।
Standard,आज माझ्या मैत्रिणीचा वाढदिवस आहे.,Today is my friend's birthday.,आज मेरी सहेली का जन्मदिन है।
Standard,त्यांनी नवीन दुकान सुरू केले आहे.,They have started a new shop.,उन्होंने नई दुकान शुरू की है।
Standard,आकाशात ढग जमा झाले आहेत.,Clouds have gathered in the sky.,आसमान में बादल छा गए हैं।
Standard,गावात नवीन रस्ता बनवला आहे.,A new road has been built in the village.,गाँव में नई सड़क बनी है।
Standard,आज बाजारात खूप गर्दी आहे.,The market is very crowded today.,आज बाज़ार में बहुत भीड़ है।
Standard,मुलं शाळेत गेली आहेत.,The cldren have gone to school.,बच्चे स्कूल गए हैं।
Standard,आज सुट्टीचा दिवस आहे.,Today is a holiday.,आज छुट्टी का दिन है।
Standard,त्यांनी नवीन कार घेतली आहे.,They have bought a new car.,उन्होंने नई कार खरीदी है।
Standard,मी रोज सकाळी फिरायला जातो.,I go for a walk every morning.,मैं रोज सुबह टहलने जाता हूं।
Standard,आज खूप थंडी आहे.,It's very cold today.,आज बहुत ठंड है।
Standard,गावात नवीन मंदिर बांधले आहे.,A new temple has been built in the village.,गाँव में नया मंदिर बना है।
Standard,त्यांनी शेतात विहीर खोदली आहे.,They have dug a well in the field.,उन्होंने खेत में कुआं खोदा है।
Standard,आज पहिला पाऊस पडला.,It rained for the first time today.,आज पहली बारिश हुई।
Standard,मुलं बागेत खेळत आहेत.,Cldren are playing in the garden.,बच्चे बगीचे में खेल रहे हैं।
Standard,गावात नवीन शाळा सुरू झाली आहे.,A new school has started in the village.,गाँव में नई स्कूल शुरू हुई है।
Standard,त्यांनी नवीन घर विकत घेतले आहे.,They have bought a new house.,उन्होंने नया घर खरीदा है।
Standard,आज बाजारात सगळं स्वस्त आहे.,Everytng is cheap in the market today.,आज बाज़ार में सब कुछ सस्ता है।
Konkani,हांव फाल्यां गोंयां वतलों.,I will go to Goa tomorrow.,मैं कल गोवा जाऊंगा।
Konkani,म्हज्या घरा लागीं दर्या आसा.,There is a sea near my house.,मेरे घर के पास समुद्र है।
Konkani,आमी नुस्तें खावपाक वचूंया.,Let's go to eat fish.,चलो मछली खाने चलते हैं।
Konkani,तुका कितें जाय?,What do you want?,तुम्हें क्या चाहिए?
Konkani,हांव आतां येतां.,I am coming now.,मैं अभी आता हूं।
Konkani,तुमी कोणाक रावता?,Who are you waiting for?,आप किसका इंतज़ार कर रहे हैं?
Konkani,फाल्यां पावस पडटलो.,It will rain tomorrow.,कल बारिश होगी।
Konkani,ताका खूब भूक लागल्या.,He is very hungry.,उसे बहुत भूख लगी है।
Konkani,हें फळ गोड आसा.,Ts fruit is sweet.,यह फल मीठा है।
Konkani,आमकां वचपाक जाय.,We need to go.,हमें जाना है।
Konkani,तुं कशें आसा?,How are you?,तुम कैसे हो?
Konkani,म्हाका माडयेर चडपाक जाय.,I want to climb the coconut tree.,मुझे नारियल के पेड़ पर चढ़ना है।
Konkani,तो दर्यादेगेर गेला.,He went to the beach.,वह समुद्र तट पर गया।
Konkani,आमी सगळे जेवूंक बसल्यात.,We all sat down to eat.,हम सब खाना खाने बैठे हैं।
Konkani,ताणें नवें घर बांदला.,He has built a new house.,उसने नया घर बनाया है।
Konkani,हांव रोज फिरपाक वतां.,I go for a walk every day.,मैं रोज घूमने जाता हूं।
Konkani,तुका कसलें काम करतात?,What work do you do?,तुम क्या काम करते हो?
Konkani,आमकां पावस आवडटा.,We like rain.,हमें बारिश पसंद है।
Konkani,तो बरो मनीस आसा.,He is a good person.,वह अच्छा इंसान है।
Konkani,हांव तुका मदत करतलों.,I will help you.,मैं तुम्हारी मदद करूंगा।
Konkani,तिका गायन करपाक आवडटा.,She likes to sing.,उसे गाना पसंद है।
Konkani,आमी उद्या बाजाराक वतले.,We will go to the market tomorrow.,हम कल बाज़ार जाएंगे।
